Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
二月,朔,帝親征驩州,以東宫太子監國.	tháng hai , ngày mồng một , vua thân đi đánh châu hoan , cho đông cung thái tử làm giám quốc .
庚午,三年[宋天聖八年].	canh ngọ , năm thứ ba , ( tống thiên thánh năm thứ tám ) .
春,正月,驩州叛.	mùa xuân , tháng giêng , châu hoan làm phản .
𭛁京師次驩州,州人降,詔赦牧守罪,遣中使撫諭其民.	xuống chiếu tha tội cho các quan châu huyện , sai trung sứ phủ dụ dân chúng .
外築周圍城一重,名曰龍城.	bên ngoài đắp một lần thành bao quanh gọi là long thành .
定公侯文武冠服.	định kiểu mũ áo của các công hầu văn võ .
十四日,帝幸鳥路田省歛,因改其田曰永興.	ngày mười bốn , vua thân ra ruộng ở điểu lộ xem gặt , nhân đổi tên cánh ruộng ấy gọi là ruộng vĩnh hưng .
三月,帝至自驩州.	tháng ba , vua từ châu hoan về đến kinh .
是日還宫.	ngày ấy , trở về cung .
是歲,宋使章頴來吊祭.	năm ấy , sứ nhà tống là chương dĩnh sang làm lễ điếu tang .
報聘.	

Paragraph 107
冬,十一月,宴群臣於天安殿.	mùa đông , tháng mười một , ban yến cho các quan ở điện thiên an .
夏,四月,朔,帝幸杜洞江信鄕耕籍田,農人献夏田禾一莖九穗.	mùa hạ , tháng bốn , ngày mồng một , vua ngự đến tín hương ở đỗ động giang cày ruộng tịch điền , có nhà nông dâng một cây lúa chiêm có chín bông thóc .
冬,十月,朔,道士鄭智空奏請賜道士受記籙于太清宫.	mùa đông , tháng mười , ngày mồng một , đạo sĩ là trịnh trí không tâu xin cho các đạo sĩ được nhận ký lục ở cung thái thanh .
十三日,帝幸長廣門外,觀皇子第宅落[落始也].	ngày mười ba , vua ra ngoài cửa trường quảng xem phủ đệ của hoàng tử vừa xây xong .
為開皇王,居龍德宫.	làm khai hoàng vương , ở cung long đức .
秋,九月,帝幸諒州捕象,至自諒州.	mùa thu , tháng chín , vua đi châu lạng bắt voi , rồi từ châu lạng trở về .
秋,八月,設法會慶成.	mùa thu , tháng tám , mở hội chay để khánh thành .
詔𭛁錢賃工,造寺丱于鄕邑,九百五十所.	xuống chiếu phát tiền thuê thợ làm chùa quán ở các hương ấp , tất cả một trăm năm mươi chỗ .
春,正月,真臘國來貢.	mùa xuân , tháng giêng , nước chân lạp sang cống .
二月帝親征,以東宫太子監國.	tháng hai , vua thân đi đánh , cho đông cung thái tử giám quốc .
十七日,扳定源州,𤤻師還.	ngày mười bảy , dẹp được châu định nguyên , đem quân về .
壬申,五年,[宋明道元年].	quý dậu , năm thứ sáu , ( tống minh đạo năm thứ hai ) .
八月,𭛁京師次真登州,陶大姨進其女,納為妃.	mồng tám , quân đi từ kinh sư , đóng lại ở châu chân đăng , có người đàn bà họ đào dâng con gái , vua nhận cho làm phi .
是日還宫.	ngày ấy trở về cung .
定源州叛.	châu định nguyên làm phản .
樹開花.	mùa xuân , tháng hai nở hoa .
癸酉,六年,[宋明道二年].	nhâm thân , năm thứ năm , ( tống minh đạo năm thứ nhất ) .
大赦天下.	đại xá thiên hạ .
詔改其田曰應天.	xuống chiếu đổi gọi ruộng ấy là ruộng ứng thiên .
春,二月,雷公觀前釋迦寺,優曇.	

Paragraph 108
史臣吳士連曰:佛家之説有謂:舍利者,乃焚身時精氣所聚之精,不為火所滅之物,故謂之寶.	sử thần ngô sĩ liên nói : thuyết nhà phật gọi xá lỵ là tinh tuý do tinh khí tụ lại khi đốt xác , lửa không đốt cháy được cho nên gọi là bảo .
冬,十月,帝親征彘源州,以開皇王監國.	mùa đông , tháng mười , vua thân đi đánh châu trệ nguyên , cho khai hoàng vương giám quốc .
其後聖宗自號為"萬乘",髙宗使人呼為"佛",皆無所法,而好為誇大.	nay thái tông bảo các quan gọi mình là " triều đình " , sau thánh tông tự xưng là " vạn thặng " , cao tông bảo người gọi mình là " phật " đều không theo phép ở đâu , mà là thích khoe khoang .
夏,四月,詔群臣言事於上前,呼帝曰"朝廷".	mùa hạ , tháng bốn , xuống chiếu cho các quan tâu việc ở trước mặt vua thì gọi vua là " triều đình " .
孔子所謂:"名不正則言不順"此也.	khổng tử nói : " danh không chính thì nói không thuận " là thế .
黎文休曰:天子自稱曰"朕",曰"予一人".	lê văn hưu nói : thiên tử tự xưng là " trẫm " , là " dư nhất nhân " .
詔以其寶留于長聖寺,供以香火.	vua xuống chiếu đem thất bảo ấy giữ ở chùa trường thánh để hương đèn thờ cúng .
世人以不常見而異之殊,不知此陽精氣聚而成之耳.	người đời không thường thấy , cho là lạ , có biết đâu là tinh khí dương tụ lại mà thành thôi .
相傳以為學佛成身化為此.	tương truyền người nào học phật thành thì thân hoá như thế .
是月,改元通瑞元年.	tháng ấy , đổi niên hiệu là thông thuỵ năm thứ nhất .
九月,彘源州叛.	tháng chín , châu trệ nguyên làm phản .
時有嚴寶性,范明心二僧焚身,儘成七寶.	bấy giờ hai nhà sư là nghiêm bảo tính và phạm minh tâm thiêu mình cháy kết thành thất bảo .
帝以其異,改元通瑞.	vua cho là việc lạ , đổi niên hiệu là thông thuỵ .
成詔鑄萬斤鍾,置于龍墀鍾樓.	xuống chiếu đúc quả chuông một vạn cân để ở lầu chuông long trì .
精氣因結為此故也.	có lẽ vì sự đoạn tuyệt tình dục thì tinh khí kết lại thành ra như thế ấy .
月以後,通瑞元宋景祐元年.	giáp tuất , năm thứ bảy , ( từ tháng bốn về sau là niên hiệu thông thuỵ năm thứ nhất , tống cảnh hựu năm thứ nhất ) .
十二月,朔,帝𤤻師.	tháng mười hai , ngày mồng một , vua đem quân về .
彘源州平.	dẹp yên châu trệ nguyên .
太宗使群臣呼己為"朝廷",.	
盖僧人斷慾,則其.	

Paragraph 109
秋,七月,立寵姬[缺名]為天感皇后,封皇子日中為奉乾王,其餘皇子皆封侯.	mùa thu , tháng bảy , lập người thiếp yêu ( không rõ tên ) làm thiên cảm hoàng hậu ; phong hoàng tử nhật trung làm phụng càn vương , các hoàng tử khác đều phong tước hầu .
自時厥後,好名之人,祝髮為僧,忍耐受死如智通之𩔗多矣.	từ đấy về sau , những người hiếu danh cạo đầu làm sư , nhẫn nại chịu chết như loại trí thông nhiều lắm .
六月,驩州献一角獸,使員外郎陳應機,王文慶遣于宋.	tháng sáu , châu hoan đem dâng con thú một sừng , sai viên ngoại lang là trần ứng cơ , vương văn khánh đem sang biếu nhà tống .
冬,十月,帝親征,以奉乾王為京師留守.	mùa đông , tháng mười , vua thân đi đánh , cho phụng càn vương lưu thủ kinh sư .
秋,八月,帝幸僊逰山重光寺,詔起重興藏.	mùa thu , tháng tám , vua ngự đến chùa trùng quang núi tiên du , sai dựng kho trùng hưng .
春,二月,天慶殿前芝草生.	mùa xuân , tháng hai , cỏ chi mọc ở trước điện thiên khánh .
冬,十一月,造萬安舶.	mùa đông , tháng mười một , đóng thuyền lớn vạn an .
一石,函内有銀函,銀函之内有金函,金函之内有琉璃瓶,瓶中有舍利.	năm ấy , sư hưu ở chùa pháp vân , châu cổ pháp tâu rằng , trong chùa ấy phát ra mấy luồng ánh sáng , theo chỗ ánh sáng đào xuống được một cái hòm bằng đá , bên trong có cái hòm bằng bạc , trong hòm bạc lại có hòm bằng vàng , trong hòm vàng có bình lưu ly , trong bình đựng xá lỵ .
夏,四月,詔制金八角逍遙.	mùa hạ , tháng bốn , xuống chiếu làm chiếc ghế chéo hình bát giác thép vàng .
乙亥,通瑞二年,[宋景祐二年].	ất hợi , năm thứ hai , ( tống cảnh hựu năm thứ hai ) .
創立西街市及其長廊.	mở chợ tây nhai và dãy phố dài ở chợ ấy .
是歲,古法州,法雲寺,僧体上言,寺中放光數道尋光,掘之得.	sai viên ngoại lang là hà thụ , đỗ khoan đem biếu nhà tống hai con voi thuần .
九月,橋成,帝臨幸,命侍臣賦詩.	tháng chín , cầu bắc xong , vua ngự đến xem , sai các quan hầu làm thơ .
帝感之,因而改元.	vua cũng mê hoặc việc ấy , nhân đó đổi niên hiệu .
帝遣迎入禁中,觀󰍶還之.	vua sai rước vào cấm điện , xem xong lại trả lại .
宋以大藏經謝之.	nhà tống lấy kinh đại tạng để tạ .
𭛁京師次愛州.	quân đi từ kinh sư , đến châu ái .
詔建太和橋於蘇歴江.	xuống chiếu bắc cầu thái hoà ở sông tô lịch .
愛州叛.	người châu ái làm phản .
遣員外郎何授,杜寬以馴象二遣于宋.	

Paragraph 110
京師留守奉乾王日中驛聞僧胡氏,定勝將阮慶義弟,都綂譚碎状,皇弟勝乾,太福等謀反.	kinh sư lưu thủ là phùng càn vương nhật trung cho chạy trạm báo tin bọn nhà sư họ hồ , em nuôi của định thắng đại tướng nguyễn khánh , đô thống đàm toái trạng , hoàng đệ thắng càn , thái phúc mưu phản , quả đúng như lời vua nói .
妃嬪皆驚曰:"陛下何以知之?	các phi tần đều kinh ngạc hỏi : " bệ hạ làm sao mà biết ?
帝曰:"慶心不平,見朕有慙色,動止失節,言行反常,以此觀之,知其志有他圖,反状明矣".	vua nói : " khánh trong lòng không bình thường , nhìn trẫm có vẻ hổ thẹn , đi đứng thất tiết , nói làm trái thường .
今觀之,如木之大,十數人󰁮之不勝其重,一人横推之則圓轉而去.	nay ta hãy xem như cây gỗ lớn mười mấy người khiêng không nổi , một người đẩy ngang thì nó lăn tròn mà đi .
胡氏,阮慶獄,並切肉剉骨于西市,其餘以罪次輕重論.	vua ngự điện thiên khánh xét án bọn sư hồ , nguyễn khánh ; đều phải xẻo thịt băm xương ở chợ tây , còn những kẻ khác thì xét theo tội nặng nhẹ .
妃嬪皆再拜曰:"妾聞聖人默視於未形,逆覩於未萌.	các phi tần đều lạy hai lạy nói : " bọn thiếp nghe nói thánh nhân thấy được chỗ chưa hiện hình , biết trước việc chưa xảy ra , nay được chính mắt trông thấy " .
帝御行營,宴享侍臣將帥,密指定勝大將阮.	vua ngự ở hành dinh , ban yến cho các quan hầu và tướng suý , ngầm chỉ định thắng đại tướng là nguyễn khánh mà bảo các phi tần rằng : " khánh thế nào cũng làm phản " .
史臣吳士連曰:凡物方則止圓則行,鍾之行以其形之圓也.	sử thần ngô sĩ liên nói : phàm vật hình vuông thì đứng , hình tròn thì đi , chuông có thể đi được là vì hình tròn .
克愛州,定愛州牧長罪,遣使撫諭其民.	đánh được châu ái , trị tội châu mục châu ái , sai sứ đi phủ dụ dân chúng trong châu .
願聞其故".	xin nói cho nghe nguyên do " .
詔𭛁銅六千斤,鑄鍾置于重光寺.	xuống chiếu phát sáu nghìn cân đồng để đúc chuông đặt ở chùa trùng quang .
鍾亦然,寺僧欲神其教,乃颺言誑之爾.	chuông cũng thế , sư chùa muốn làm cho đạo mình có vẻ thần diệu , mới nói phao lên như thế để đánh lừa mà thôi .
詔捕慶等檻送京師.	vua xuống chiếu bắt bọn khánh đóng cũi đem về kinh sư .
鍾成,使人拽送之.	chuông đúc xong , sai người kéo đưa đến chùa .
設飲至禮,勞將士平愛州之功.	tháng mười một , ngày mồng một , vua từ châu ái về đến kinh , làm tiệc rượu mừng việc trở về .
十一月,朔,帝至自愛州.	uỷ lại các tướng sĩ có công dẹp châu ái .
慶謂妃嬪曰:"慶必反".	chuông ấy không đợi sức người , tự di chuyển được , chỉ khoảnh khắc đã đến chùa .
帝御天慶殿執.	
其鍾不待人力,自䏻移轉,頃刻間至其寺.	
盖曳之行而有不勞人力,如神之助者以.	
	có lẽ là kéo nó đi , không nhọc đến sức người , như có thần giúp vậy .

Paragraph 111
冬,十月,臨西道及都金,常新,平原等州叛,侵宋思陵等州,掠牛馬,焚盧舍而還.	mùa đông , tháng mười , đạo lâm tây và các châu đô kim , thường tân , bình nguyên làm phản , xâm lấn các châu tư lăng của nước tống , cướp trâu ngựa , đốt nhà cửa rồi về .
丁丑,四年,[宋景祐四年].	đinh sửu , năm thứ bốn , ( tống cảnh hựu năm thứ bốn ) .
冬,十二月,造日光舟.	mùa đông , tháng mười hai , đóng thuyền nhật quang .
皇王為大元帥,討都金,常新,平原等州;奉乾王為京師琉守.	mùa xuân , tháng hai , ngày mồng một , vua thân đi đánh đạo lâm tây , sai khai hoàng vương làm đại nguyên soái đánh các châu đô kim , thường tân , bình nguyên , cho phụng càn vương làm kinh sư lưu thủ .
秋,八月,以長寕公主嫁上威州牧何善覽.	mùa thu , tháng tám , gả công chúa trường ninh cho châu mục châu thượng oai là hà thiện lãm .
春,正月,設慶成大願佛會於龍墀.	mùa xuân , tháng giêng , mở hội ở long trì khánh thành pho tượng phật đại nguyện .
秋,七月,帝御含光殿觀兢舟.	mùa thu , tháng bảy , vua ngự điện hàm quang xem đua thuyền .
三月,帝至自臨西道.	tháng ba , vua từ đạo lâm tây về đến kinh .
八月,造永春舟.	tháng tám , đóng thuyền vĩnh xuân .
夏,四月,置驩州行營,因改其州曰乂安.	mùa hạ , tháng bốn , đặt hành dinh ở châu hoan , nhân đó đổi tên châu ấy là nghệ an .
二月,詔寫大藏經留于重興藏.	tháng hai , xuống chiếu chép kinh đại tạng cất ở kho trùng hưng .
詔乂安州起資城,利人,永豊等庫五十所于本州.	xuống chiếu cho châu nghệ an dựng các kho ở trong châu như tư thành , lợi nhân , vĩnh phong , tất cả năm mươi sở .
當時乘史筆者,不揆諸理,從而書于󰀋也.	người cầm bút chép sử đương thời không xét lý lẽ , cứ theo thế mà chép vào sử sách .
其曰神人迹,舍利光,優曇.	những chuyện như dấu vết người thần , ánh sáng xá lị , cây ưu đàm nở hoa , tượng phật cổ nổi lên .
三月,以金城公主嫁峯州牧黎宗順.	tháng ba , gả công chúa kim thành cho châu mục châu phong là lê tông thuận .
丙子,三年,[宋景佑三年].	bính tý , năm thứ ba , ( tống cảnh hựu năm thứ ba ) .
鳥路桑園,中古佛湧.	trong vườn dâu ở điểu lộ có pho tượng phật cổ trồi lên .
春,二月,朔,帝親征臨西道,以開.	quân đi từ kinh sư đến đóng ở lâm tây , dẹp yên được .
花,古佛湧之類,皆出僧徒之言.	
𭛁京師次臨西道,克之.	

Paragraph 112
帝夢𮗓,召問群臣徵其事,封以王爵,命有司立祠於城南門之西,時祭焉.	vua tỉnh dậy , gọi các quan vào hỏi việc áy , phong cho tước vương , sai hữu ty dựng đền ở phía tây cửa nam thành , tuế thời cúng tê ( hoằng thánh sau đổi là hồng thánh ) .
先是,帝以都護府多疑獄,士師不䏻决,欲得彰著靈明,庸塞奸詐者,乃沐浴焚香請于天帝.	trước đây vua thấy phủ đô hộ để nhiều án ngờ , quan sĩ sư không xét đoán được , muốn tỏ rõ sự linh thiêng sáng suốt để tiệt hết kẻ gian trá , bèn tắm gội đốt hương khấn thiên đế .
九月,神人見迹于大勝寺.	tháng chín , có dấu vết người thần hiện ở chùa đại thắng .
秋,八月,帝御含光殿觀兢舟.	mùa thu , tháng tám , vua ngự ở điện hàm quang xem đua thuyền .
是夜,夢赤衣使者奉上帝勑,賜范巨俩為都護府獄訟盟主.	đêm ấy vua chiêm bao thấy sứ giả mặc áo đỏ bưng sắc chỉ của thượng đế ban cho phạm cự lạng làm chức đô hộ phủ ngọc tụng minh chủ .
立弘聖大王祠.	dựng đền thờ hoằng thánh đại vương .
三月,還京師.	tháng ba , vua về kinh sư .
春,二月,帝幸布海口耕籍田.	mùa xuân , tháng hai , vua ngự ra cửa bố hải cày ruộng tịch điền .
左右或止之曰:"此農夫事耳,陛下焉用此為?	các quan tả hữu có người can rằng : " đó là công việc của nông phu , bệ hạ cần gì làm thế ?
帝曰:"朕不躬耕則無以供粢盛,又無以率天下".	" vua nói : " trẫm không tự cày thì lấy gì làm xôi cúng , lại lấy gì cho thiên hạ noi theo ?
史臣吳士連曰:太宗復古禮,躬耕籍填率天下,.	sử thần ngô sĩ liên nói : thái tông không phục lễ cổ , tự mình cày ruộng tịch điền để nêu gương cho thiên hạ trên để cúng tông miếu , dưới để nuôi muôn dân , công hiệu trị nước dẫn đến dân đông , của giàu , nên thay !
帝親祠神農,畢執耒欲行躬耕禮.	vua thân tế thần nông , tế xong tự cầm cày để làm lễ tự cày .
戊寅,五年,[宋寳元元年].	mậu dần , năm thứ năm , ( tống bảo nguyên năm thứ nhất ) .
於是耕三推而止.	sau hữu ty dọn cỏ đắp đàn .
顧問天使曰:"是.	" sứ giả nói : " người ấy làm thái uý triều lê đại hành " .
言訖忽不見.	nói xong thì biến mất .
典我何職局?	
使者曰:"乃黎大行朝太尉也".	
命有司除地築壇.	
上以供宗廟,下以畜萬民,治效臻於富庶也.	
	vua hỏi sứ trời rằng : " người ấy hiện đang giữ chức gì của ta ?
	" nói xong đẩy cày ba lần rồi thôi .

Paragraph 113
後,存福殺存禄及當道,併有其地,僣稱昭聖皇帝,立阿儂為明德皇后,封子智聰為南衙王,改其州曰長生國,繕甲治兵,堅城自守,無復奉土稱臣.	sau tồn phúc giết tồn lộc và đương đạo , chiếm luôn cả đất , tiếm xưng là chiêu thánh hoàng đế , lập a nùng làm minh đức hoàng hậu , phong cho con là trí thông làm nam nha vương , đổi châu ấy gọi là nước trường sinh , sửa soạn binh giáp , đắp thành kiên cố để tự giữ , không nộp cống xưng thần nữa .
今,存福妄自尊,大竊號施令,聚蜂蠆之眾,毒邉鄙之民.	nay tồn phúc càn rỡ tự tôn , cả tiếm vị hiệu , ra mệnh lệnh , tụ họp quân ong bọ , làm hại dân chúng biên thuỳ .
十一月,起御庫.	tháng mười một , dựng kho ngự .
帝縱兵追之,擭存福及智聰等五人.	vua cho quân đuổi theo bắt được tồn phúc và bọn trí thông năm người .
冬,十月,立重光寺碑.	mùa đông , tháng mười , dựng bia chùa trùng quang .
二月,帝自將征存福,以開皇王監國.	tháng hai , vua tự làm tướng đi đánh tồn phúc , cho khai hoàng vương làm giám quốc .
詔曰:"朕有天下以來,將相諸臣靡𧇊大節,異方殊域,莫不來臣,而諸儂世守封疆,常供厥貢.	tháng ba , vua từ quảng nguyên về kinh sư , xuống chiếu rằng : " trẫm từ khi có thiên hạ đến giờ , đối với tướng văn tướng võ cùng các bề tôi không thiếu đại tiết , phương xa cõi lánh , không đâu không đến xưng thần , mà họ nùng nối đời giữ bờ cõi vẫn thường cúng nộp đồ cống .
春,正月,西農首領何文貞以存福叛状聞.	mùa xuân , tháng giêng , thủ lĩnh tây nông là hà văn trinh đem việc tồn phúc làm phản tâu lên .
檻存福等歸京師,令軍士夷其城池,招其遺類而存撫之,然後𤤻師.	đóng cũi bọn tồn phúc đem về kinh sư , sai quân san phẳng thành hào , chiêu dụ tộc loại còn sống sót , vỗ về yên ủi rồi đem quân về .
初,存福為儻猶州首領,弟存禄為萬涯州首領.	trước đây tồn phúc là thủ lĩnh châu thảng do , em là tồn lộc làm thủ lĩnh châu vạn nhai .
宋封帝為南平王.	nhà tống phong vua làm nam bình vương .
十二月,廣原州儂存福叛.	tháng mười hai , nùng tồn phúc ở châu quảng nguyên làm phản .
州首領,皆屬廣原州,歲輸土貢.	em trai của a nùng , vợ tồn phúc , là đương đạo làm thủ lĩnh châu vũ lặc đều thuộc châu quảng nguyên , hàng năm nộp cống đồ thổ sản .
次廣原州,存福聞之,率其部落携其妻子亡匿山澤.	đến châu quảng nguyên , tồn phúc nghe tin đem cả bộ lạc vợ con trốn vào chằm núi .
𭛁京師渡冷涇津,白魚入舟.	quân đi từ kinh sư , qua bến lãnh kinh , có cá trắng nhảy vào thuyền .
惟妻阿儂,子智髙走脱.	chỉ có vợ là a nùng , con là trí cao chạy thoát .
以後,乾符有道宋寳元二年].	kỷ mão , năm thứ sáu , ( từ tháng sáu về sau là niên hiệu càn phù hữu đạo năm thứ nhất ; tống bảo nguyên năm thứ hai ) .
是歲,東征王力卒.	năm ấy , đông chinh vương lực chết .
存福妻,阿儂弟,當道為武勒.	
三月,帝至自廣原,.	

Paragraph 114
帝曰:"唐󰔄之世,畫象而亻不犯,不戰而屈人兵,岳衣拱手而天下大治,是以星辰不悖,雷雨弗迷,鳥獸率舞,鳳凰來儀,四夷咸實,百蠻向化,不知何以臻歟!	vua nói : " thời đường ngu chỉ vạch hình mà người không dám phạm , không đánh mà khuất phục được binh của người , giũ áo khoanh tay mà thiên hạ đại trị , cho nên các sao không đi trái , sấm mưa không thất thường , chi muông đến múa , phượng hoàng lại chầu , bốn đi theo về , trăm man hướng hoá , không hiểu làm sao mà được đến như thế !
冬,十月,詔重脩太祖神武皇帝廟.	mùa đông , tháng mười , xuống chiếu sửa lại miếu thái tổ thần vũ hoàng đế .
五月,廣原州属武建洞獻生金一塊,重一百一十二两.	tháng năm , động vũ kiến thuộc châu quảng nguyên dâng một khối vàng sống nặng một trăm mười hai lạng .
乃者,儂寇克平,占城來附,洞産黄金,地湧白銀,意者何以致之歟?	vừa rồi , giặc nùng dẹp yên , chiêm thành quy phụ , động sinh vàng ròng , đất trồi bạc trắng , ý chừng có điều gì mà được thế chăng ?
六月,群臣請改元曰乾符有道,及增尊號曰:"金.	tháng sáu , bầy tôi xin đổi niên hiệu là càn phù hữu đạo và xin tăng tôn hiệu thêm tám chữ là : " kim dũng ngân sinh , nùng bình phiên phục " .
黎文休曰:帝堯,帝舜,文王,武王,皆以一字為號,未當有增其尊號也.	lê văn hưu nói : đế nghiêu , đế thuấn , văn vương , vũ vương đều lấy một chữ làm hiệu , chưa từng thấy có tăng thêm tôn hiệu bao giờ .
夏,四月,占城王子地婆剌,樂舜,乍兠,羅繼,阿撻㻋五人來附.	mùa hạ , tháng bốn , con vua chiêm thành là địa bà lạt lạc thuẫn , sạ đâu , la kế , a thát lạt năm người sang quy phục .
太宗不學無以知之,而儒臣進此以䛕媚其君,不可謂無罪也.	thái tông không có học nên không biết , nhưng bọn nho thần dâng lên những chữ ấy để nịnh hót vua thì không thể bảo là không có tội .
朕以之龔行天討,俘存福等五人,並斬之于都市".	trẫm vâng mệnh trời đi đánh , bắt được bọn tồn phúc năm tên , đều chém ở chợ kinh đô " .
太宗乃納群臣所上"金湧銀生,儂平藩伏"八字為號,則於誇大中又失於麄矣.	thái tông chịu nhận cho bầy tôi dâng tám chữ " kim dũng ngân sinh , nùng bình phiên phục " làm hiệu thì việc khoe khoang lại thô bỉ nữa .
秋,八月,遣大僚𤤻師用和,親王𤤻杜興如宋脩舊好.	mùa thu , tháng tám , sai đại liêu ban sư dụng hoà và thân vương ban đỗ hưng sang nước tống tiếp tục việc thông hiếu cũ .
後世帝王,好為誇大,乃有累至數十餘字者.	đế vương thời sau thích khoe khoang mới có tôn hiệu đến vài chục chữ .
連縣弄石州,定邉州奏本處有銀穴.	huyện liên , châu lộng thạch , châu định biên tâu rằng trong bản xứ có hố bạc .
朕甚懼焉,何足以崇美名尊顕號.	trẫm rất lo sợ , sao đáng để tôn sùng tên đẹp hiệu vinh .
卿等議宜停罷".	lời bàn của các khanh nên đình bãi " .
抑將有以警之歟?	hay sắp xảy ra việc gì để cảnh cáo chăng ?
湧銀生,儂平藩伏"八字.	nhưng chỉ lấy công đức mà xưng tụng , chưa bao giờ lấy đồ vật và tên man di xen chắp vào .
群臣固請乃𠃔.	bầy tôi cố nài vua mới chịu nhận .
朕以藐躬,託于士民之上,夙興夜寐,若涉深淵,未知何道以格乎天地,何德以參乎堯舜.	
然以功德稱之,未有以物件及蠻夷聮綴於其間者也.	
	trẫm là người ít đức , đứng đầu thần dân , dậy sớm thức khuya , lúc nào cũng lo sợ như lội vực sâu , chưa biết lấy đạo gì để thấu trời đất , lấy đức gì để kịp nghiêu thuấn .

Paragraph 115
冬,十月,設羅漢會于龍墀,大赦,免流人罪,復徒人之法,及天下税錢之半.	mùa đông , tháng mười , mở hội la hán ở long trì , đại xá thiên hạ , tha tội lưu , tội đồ và một nửa tiền thuế cho thiên hạ .
夏,五月,置宫女皆品,皇后妃嬪十三,御女十八,樂妓一百有餘.	mùa hạ , tháng năm , đặt phẩm cấp các cung nữ , hoàng hậu và phi tần mười ba người , ngự nữ mười tám người , nhạc kỹ hơn một trăm người .
春,正月,丁亥,朔,日食.	mùa xuân , tháng giêng , ngày mồng một , đinh hợi , nhật thực .
史臣吳士連曰:太子之職,問安侍膳之外,居府曰監國,行軍曰撫軍,如斯而已,未聞使之聽訟也.	sứ thần ngô sĩ liên nói : chức việc của thái tử , ngoài việc thăm hỏi hầu cơm vua ra , khi ở lại giữ nước thì gọi là giám quốc , khi đem quân đi thì gọi là phủ quân , có thế mà thôi , chưa nghe thấy sai xử kiện bao giờ .
春,二月,有白雀集于禁庭.	mùa xuân , tháng hai , có chim sẻ trắng đậu ở cấm đình .
秋,八月,占城國,守布政寨人布令,布哥,蘭沱星率其部属百餘人來附.	mùa thu , tháng tám , người giữ trại bố chính của nước chiêm thành là bố linh , bố kha , lan đà tinh đem bộ thuộc hơn trăm người sang quy phụ .
史臣吳士連曰:帝之此舉,於美之中又有美者存,不貴異物,見其儉德之脩,頒賜群臣,見其惠下之厚.	sứ thần ngô sĩ liên nói : việc làm này của vua trong cái tốt lại còn cái tốt nữa , không quý vật lạ , tỏ ra giữ đức kiệm ước , ban cho bầy tôi , tỏ ra hậu đãi kẻ dưới .
是月,詔盡𤼵内府宋國錦𦂶為衣服,頒賜群臣,五品以上錦袍,九品以上𦂶袍,以示不復服御宋國錦𦂶也.	tháng ấy xuống chiếu phát hết gấm vóc của nước tống ở trong kho ra để may áo ban cho các quan , từ ngũ phẩm trở lên thì áo bào bằng gấm , từ cửu phẩm trở lên thì áo bào bằng vóc , để tỏ là vua không dùng gấm vóc của nước tống nữa .
太宗使開皇王行之,非其職矣,又廣武殿為王聽訟所,非其所矣.	thái tông sai khai hoàng vương làm việc đó không phải là chức phận của thái tử , lại lấy điện quảng vũ làm nơi vương xử kiện là không đúng chỗ .
庚辰,乾符有道二年,[宋康定元年].	canh thìn , năm thứ hai , ( tống khang định năm thứ nhất ) .
夏,四月,朔,詔:今後,凣天下人民詞訟,悉委開皇.	mùa hạ , tháng bốn , ngày mồng một , xuống chiếu từ nay trở đi phàm nhân dân trong nước ai có việc kiện tụng gì , đều giao cho khai hoàng vương xử đoán rồi tâu lên , lại cho lấy điện quảng vũ làm nơi vương xử kiện .
先是,帝令工匠造雕佛千餘像,畫佛千餘軸,寶幡.	trước đây , vua sai thợ tạc hơn nghìn pho tượng phật , vẽ hơn nghìn bức tranh phật , làm bảo phướn hơn một vạn lá .
夫訟乃有司之事.	phàm xử kiện là việc của hữu ty .
辛巳,三年[宋慶曆元年].	tân tỵ , năm thứ ba , ( tống khánh lịch năm thứ nhất ) .
二月,帝既教宫女職成錦𦂶.	tháng mười hai , nước chân lạp sang cống .
王裁决以聞,仍命以廣武殿為王聽獄訟所.	tháng hai , vua đã dạy cung nữ dệt được gấm vóc .
真臘國來貢.	đến đây xong việc , làm lễ khánh thành .
十二月,.	
萬餘頂.	
至是工畢慶成也.	

Paragraph 116
地震.	động đất .
秋,七月,詔諸盗官牛者,杖一百,一頭罰二頭.	mùa thu , tháng bảy , xuống chiếu kẻ nào ăn trộm trâu của công thì xử một trăm trượng , một con phạt thành hai con .
帝㦖其父存福,兄智聰俱被誅,免其辠,復授廣源州如故,以雷火,平,安,󰜏,四洞及思琅州附益之.	vua thương tình vì cha là tồn phúc và anh là trí thông đều đã bị giết nên tha tội , cho giữ châu quảng nguyên như cũ , lại phụ thêm cho bốn động lôi hoả , bình , an , bà và châu tư lang nữa .
夏,五月,詔諸官職都,迯亡者杖一百,刺靣五十字,徒罪.	mùa hạ , tháng năm , xuống chiếu rằng các quan chức đô , ai bỏ trốn thì phạt một trăm trượng , thích vào mặt năm mươi chữ và xử tội đồ .
壬午,四年,[十月以後,明道元年;宋慶曆二年].	nhâm ngọ , năm thứ bốn , ( từ tháng mười về sau là niên hiệu minh đạo năm thứ nhất ; tống khánh lịch năm thứ hai ) .
