Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
兵在夜而不惊，将闻变而不乱：真将才也！	Binh tại dạ nhi bất kinh, tương văn biến nhi bất loạn: chân tướng tài dã!
”次日，王含、蒋斌收聚败兵，伏于大寨前请罪。	"Thứ nhật, vương hàm, tương bân thu tụ bại binh, phục vu đại trại tiền thỉnh tội.
维曰：“非汝等之罪，乃吾不明地脉之故也，”又拨军马，令二将安营讫。	Duy viết: "Phi nhữ đẳng chi tội, nãi ngô bất minh địa mạch chi cố dã," Hựu bát quân mã, lệnh nhị tương an doanh cật.
却将伤死身尸，填于地道之中，以土掩之。	Khước tương thương tử thân thi, điền vu địa đạo chi trung, dĩ thổ yểm chi.
令人下战书单搦邓艾来日交锋。	Lệnh nhân hạ chiến thư đan nạch đặng ngải lai nhật giao phong.
艾忻然应之。	Ngải hãn nhiên ứng chi.
次日，两军列于祁山之前。	Thứ nhật, lưỡng quân liệt vu kì sơn chi tiền.
维按武侯八阵之法，依天、地、风、云、鸟、蛇、龙、虎之形，分布已定。	Duy án võ hầu bát trận chi pháp, y thiên, địa, phong, vân, điểu, xà, long, hổ chi hình, phân bố dĩ định.
邓艾出马，见维布成八卦，乃亦布之，左右前后，门户一般。	Đặng ngải xuất mã, kiến duy bố thành bát quái, nãi diệc bố chi, tả hữu tiền hậu, môn hộ nhất bàn.
维持枪纵马大叫曰：“汝效吾排八阵，亦能变阵否？	Duy trì thương túng mã đại khiếu viết: "Nhữ hiệu ngô bài bát trận, diệc năng biến trận phủ?
”艾笑曰：“汝道此阵只汝能布耶？	" Ngải tiếu viết: "Nhữ đạo thử trận chỉ nhữ năng bố da?
吾既会布阵，岂不知变阵！	Ngô kí hội bố trận, khởi bất tri biến trận!
”艾便勒马入阵，令执法官把旗左右招飐，变成八八六十四个门户；复出阵前曰：“吾变法若何？”维曰：“虽然不差，汝敢与吾八阵相围么？	" Ngải tiện lặc mã nhập trận, lệnh chấp pháp quan bả kì tả hữu chiêu triển, biến thành bát bát nhiên bất sai, nhữ cảm dữ ngô bát trận tương vi yêu?
”艾曰：“有何不敢！	" Ngải viết: "Hữu hà bất cảm!
”两军各依队伍而进。	" Lưỡng quân các y đội ngũ nhi tiến.
艾在中军调遣。	Ngải tại trung quân điều khiển.
两军冲突，阵法不曾错动。	Lưỡng quân xung đột, trận pháp bất tằng thác động.
姜维到中间，把旗一招，忽然变成长蛇卷地阵，将邓艾困在垓心，四面喊声大震。	Khương duy đáo trung gian, bả kì nhất chiêu, hốt nhiên biến thành trường xà quyển địa trận, tương đặng ngải khốn tại cai tâm, tứ diện hảm thanh đại chấn.
艾不知其阵，心中大惊。	Ngải bất tri kì trận, tâm trung đại kinh.
蜀兵渐渐逼近，艾引众将冲突不出。	Thục binh tiệm tiệm bức cận, ngải dẫn chúng tướng xung đột bất xuất.
只听得蜀兵齐叫曰：“邓艾早降！	Chỉ thính đắc thục binh tề khiếu viết: "Đặng ngải tảo hàng!
”艾仰天长叹曰：“我一时自逞其能，中姜维之计矣！	" Ngải ngưỡng thiên trường thán viết: "Ngã nhất thời tự sính kì năng, trung khương duy chi kế hĩ!
”忽然西北角上一彪军杀入，艾见是魏兵，遂乘势杀出。	" Hốt nhiên tây bắc giác thượng nhất bưu quân sát nhập, ngải kiến thị ngụy binh, toại thừa thế sát xuất.
救邓艾者，乃司马望也。	Cứu đặng ngải giả, nãi Tư Mã vọng dã.
比及救出邓艾时，祁山九寨，皆被蜀兵所夺。	Bỉ cập cứu xuất đặng ngải thời, kì sơn cửu trại, giai bị thục binh sở đoạt.
艾引败兵，退于渭水南下寨。	Ngải dẫn bại binh, thối vu vị thủy nam hạ trại.
艾谓望曰：“公何以知此阵法而救出我也？	Ngải vị vọng viết: "Công hà dĩ tri thử trận pháp nhi cứu xuất ngã dã?
”望曰：“吾幼年游学于荆南，曾与崔州平、石广元为友，讲论此阵。	" Vọng viết: "Ngô ấu niên du học vu kinh nam, tằng dữ thôi châu bình, thạch quảng nguyên vi hữu, giảng luận thử trận.
今日姜维所.变者，乃长蛇卷地阵也。	Kim nhật khương duy sở biến giả, nãi trường xà quyển địa trận dã.
若他处击之，必不可破。吾见其头在西北，故从西北击之，自破矣。	Nhược tha xử kích chi, tất tây bắc, cố tòng tây bắc kích chi, tự phá hĩ.
”艾谢曰：“我虽学得阵法，实不知变法。	" Ngải tạ viết: "Ngã tuy học đắc trận pháp, thật bất tri biến pháp.
公既知此法，来日以此法复夺祁山寨栅，如何？	Công kí tri thử pháp, lai nhật dĩ thử pháp phục đoạt kì sơn trại sách, như hà?
”望曰：“我之所学，恐瞒不过姜维。	" Vọng viết: "Ngã chi sở học, khủng man bất quá khương duy.
”艾曰：“来日公在阵上与他斗阵法，我却引一军暗袭祁山之后。	" Ngải viết: "Lai nhật công tại trận thượng dữ tha đấu trận pháp, ngã khước dẫn nhất quân ám tập kì sơn chi hậu.
两下混战。	Lưỡng hạ hỗn chiến.
可夺旧寨也。	Khả đoạt cựu trại dã.
”于是令郑伦为先锋，艾自引军袭山后；一面令人下战书，搦姜维来日斗阵法。	" Vu thị lệnh trịnh luân vi tiên phong, ngải tự dẫn quân tập sơn hậu; nhất diện lệnh nhân hạ chiến thư, nạch khương duy lai nhật đấu trận pháp.
维批回去讫，乃谓众将曰：“吾受武侯所传密书，此阵变法共三百六十五样，按周天之数。	Duy phê hồi khứ cật, nãi vị chúng tướng viết: "Ngô thụ võ hầu sở truyền mật thư, thử trận biến pháp cộng tam bách lục thập ngũ dạng, án chu thiên chi số.
今搦吾斗阵法，乃班门弄斧耳！	Kim nạch ngô đấu trận pháp, nãi ban môn lộng phủ nhĩ!
但中间必有诈谋，公等知之乎？	Đãn trung gian tất hữu trá mưu, công đẳng tri chi hồ?
”廖化曰：“此必赚我斗阵法，却引一军袭我后也。	" Liêu hóa viết: "Thử tất trám ngã đấu trận pháp, khước dẫn nhất quân tập ngã hậu dã.
”维笑曰：“正合我意。	" Duy tiếu viết: "Chánh hợp ngã ý.
”即令张翼、廖化，引一万兵去山后埋伏。	" Tức lệnh trương dực, liêu hóa, dẫn nhất vạn binh khứ sơn hậu mai phục. học được phép trận, nhưng chưa tường phép biến hóa.

Paragraph 376
次日，姜维尽拔九寨之兵，分布于祁山之前。	Thứ nhật, khương duy tẫn bạt cửu trại chi binh, phân bố vu kì sơn chi tiền.
司马望引兵离了渭南，径到祁山之前，出马与姜维答话。	Tư Mã vọng dẫn binh li liễu vị nam, kính đáo kì sơn chi tiền, xuất mã dữ khương duy đáp thoại.
维曰：“汝请吾斗阵法，汝先布与吾看。	Duy viết: "Nhữ thỉnh ngô đấu trận pháp, nhữ tiên bố dữ ngô khán.
”望布成了八卦。	" vọng bố thành liễu bát quái.
维笑曰：“此即吾所布八阵之法也，汝今盗袭，何足为奇！	Duy tiếu viết: "Thử tức ngô sở bố bát trận chi pháp dã, nhữ kim đạo tập, hà túc vi kì!
”望曰：“汝亦窃他人之法耳！	" Vọng viết: "Nhữ diệc thiết tha nhân chi pháp nhĩ!
”维曰：“此阵凡有几变？	" Duy viết: "Thử trận phàm hữu kỉ biến?
”望笑曰：“吾既能布，岂不会变？	" Vọng tiếu viết: "Ngô kí năng bố, khởi bất hội biến?
此阵有九九八十一变。	Thử trận hữu cửu cửu bát thập nhất biến.
”维笑曰：“汝试变来。	" duy tiếu viết: "Nhữ thí biến lai.
”望入阵变了数番，复出阵曰：“汝识吾变否？	" vọng nhập trận biến liễu sổ phiên, phục xuất trận viết: "Nhữ thức ngô biến phủ?
”维笑曰：“吾阵法按周天三百六十五变。	" Duy tiếu viết: "Ngô trận pháp án chu thiên tam bách lục thập ngũ biến.
汝乃井底之蛙，安知玄奥乎！	Nhữ nãi tỉnh để chi oa, an tri huyền áo hồ!
”望自知有此变法，实不曾学全，乃勉强折辩曰：“吾不信，汝试变来。	" Vọng tự tri hữu thử biến pháp, thật bất tằng học toàn, nãi miễn cường chiết biện viết: "Ngô bất tín, nhữ thí biến lai.
”维曰：“汝教邓艾出来，吾当布与他看。	" duy viết: "Nhữ giáo đặng ngải xuất lai, ngô đương bố dữ tha khán.
”望曰：“邓将军自有良谋，不好阵法。	" vọng viết: "Đặng tướng quân tự hữu lương mưu, bất hảo trận pháp.
”望大惊，恰欲进兵混战，被维以鞭梢一指，两翼兵先出，杀的那魏兵弃甲抛戈，各逃性命。	" duy đại tiếu viết: "Hữu hà lương binh hỗn chiến, bị duy dĩ tiên sao nhất chỉ, lưỡng dực binh tiên xuất, sát đích na ngụy binh khí giáp phao qua, các đào tính mệnh.
却说邓艾催督先锋郑伦来袭山后。	Khước thuyết đặng ngải thôi đốc tiên phong trịnh luân lai tập sơn hậu.
伦刚转过山角，忽然一声炮响，鼓角喧天，伏兵杀出：为首大将。	Luân cương chuyển quá sơn giác, hốt nhiên nhất thanh pháo hưởng, cổ giác huyên thiên, phục binh sát xuất: vi thủ đại tướng.
乃廖化也。	Nãi liêu hóa dã.
二人未及答话，两马交处，被廖化一刀，斩郑伦于马下。	Nhị nhân vị cập đáp thoại, lưỡng mã giao xử, bị liêu hóa nhất đao, trảm trịnh luân vu mã hạ.
邓艾大惊，急勒兵退时，张翼引一军杀到。	Đặng ngải đại kinh, cấp lặc binh thối thời, trương dực dẫn nhất quân sát đáo.
两下夹攻，魏兵大败。	Lưỡng hạ giáp công, ngụy binh đại bại.
艾舍命突出，身被四箭。	Ngải xá mệnh đột xuất, thân bị tứ tiễn.
奔到谓南寨时，司马望亦到。	Bôn đáo vị nam trại thời, Tư Mã vọng diệc đáo.
二人商议退兵之策。	Nhị nhân thương nghị thối binh chi sách.
望曰：“近日蜀主刘禅，宠幸中贵黄皓，日夜以酒色为乐。	Vọng viết: "Cận nhật thục chủ lưu thiện, sủng hạnh trung quý hoàng hạo, nhật dạ dĩ tửu sắc vi nhạc.
可用反间计召回姜维，此危可解。	Khả dụng phản gian kế triệu hồi khương duy, thử nguy khả giải.
”艾问众谋士曰：“谁可入蜀交通黄皓？	" ngải vấn chúng mưu sĩ viết: "Thùy khả nhập thục giao thông hoàng hạo?
”言未毕，一人应声曰：“某愿往。	" Ngôn vị tất, nhất nhân ứng thanh viết: "Mỗ nguyện vãng.
”艾视之，乃襄阳党均也。	" ngải thị chi, nãi tương dương đảng quân dã.
艾大喜，即令党均赍金珠宝物，径到成都结连黄皓，布散流言，说姜维怨望天子，不久投魏。	Ngải đại hỉ, tức lệnh đảng quân tê kim châu bảo vật, kính đáo thành đô kết liên hoàng hạo, bố tán lưu ngôn, thuyết khương duy oán vọng thiên tử, bất cửu đầu ngụy.
于是成都人人所说皆同。	Vu thị thành đô nhân nhân sở thuyết giai đồng.
黄皓奏知后主，即遣人星夜宣姜维入朝。	Hoàng hạo tấu tri hậu chủ, tức khiển nhân tinh dạ tuyên khương duy nhập triều.
却说姜维连日搦战，邓艾坚守不出。	Khước thuyết khương duy liên nhật nạch chiến, đặng ngải kiên thủ bất xuất.
维心中甚疑。	Duy tâm trung thậm nghi.
忽使命至。	Hốt sử mệnh chí.
诏维入朝。	Chiếu duy nhập triều.
维不知何事，只得班师回朝。	Duy bất tri hà sự, chỉ đắc ban sư hồi triều.
邓艾、司马望知姜维中计，遂拔渭南之兵，随后掩杀。	Đặng ngải, Tư Mã vọng tri khương duy trúng kế, toại bạt vị nam chi binh, tùy hậu yểm sát.
正是：乐毅伐齐遭间阻，岳飞破敌被谗回。	Chánh thị: nhạc nghị phạt tề tao gian trở, nhạc phi phá địch bị sàm hồi.
未知胜负如何，且看下文分解。	Vị tri thắng phụ như hà, thả khán hạ văn phân giải. ra.
第一百十四回曹髦驱车死南阙姜维弃粮胜魏兵	Đặng Đệ nhất bách thập tứ hồi tào mao khu xa tử nam khuyết khương duy khí lương thắng

Paragraph 377
却说姜维传令退兵，廖化曰：“将在外，君命有所不受。	Khước thuyết khương duy truyền lệnh thối binh, liêu hóa viết: "Tương tại ngoại, quân mệnh hữu sở bất thụ.
今虽有诏，未可动也。	Kim tuy hữu chiếu, vị khả động dã.
”张翼曰：“蜀人为大将军连年动兵，皆有怨望；不如乘此得胜之时，收回人马，以安民心，再作良图。	" Trương dực viết: "Thục nhân vi đại tướng quân liên niên động binh, giai hữu oán vọng; bất như thừa thử đắc thắng chi thời, thu hồi nhân mã, dĩ an dân tâm, tái tác lương đồ.
”维曰：“善。	" Duy viết: "Thiện.
”遂令各军依法而退。	" Toại lệnh các quân y pháp nhi thối.
命廖化、张翼断后，以防魏兵追袭。	Mệnh liêu hóa, trương dực đoạn hậu, dĩ phòng ngụy binh truy tập.
却说邓艾引兵追赶，只见前面蜀兵旗帜整齐，人马徐徐而退。	Khước thuyết đặng ngải dẫn binh truy cản, chỉ kiến tiền diện thục binh kì xí chỉnh tề, nhân mã từ từ nhi thối.
艾叹曰：“姜维深得武侯之法也！	Ngải thán viết: "Khương duy thâm đắc võ hầu chi pháp dã!
”因此不敢追赶，勒军回祁山寨去了。	" Nhân thử bất cảm truy cản, lặc quân hồi kì sơn trại khứ liễu.
且说姜维至成都，入见后主，问召回之故。	Thả thuyết khương duy chí thành đô, nhập kiến hậu chủ, vấn triệu hồi chi cố.
后主曰：“朕为卿在边庭，久不还师，恐劳军士，故诏卿回朝，别无他意。	Hậu chủ viết: "Trẫm vi khanh tại biên đình, cửu bất hoàn sư, khủng lao quân sĩ, cố chiếu khanh hồi triều, biệt vô tha ý.
”维曰：“臣已得祁山之寨，正欲收功，不期半途而废。	" Duy viết: đồ nhi phế.
此必中邓艾反间之计矣。	Thử tất trung đặng ngải phản gian chi kế hĩ.
”后主默然不语。	" Hậu chủ mặc nhiên bất ngữ.
姜维又奏曰：“臣誓讨贼，以报国恩。	Khương duy hựu tấu viết: "Thần thệ thảo tặc, dĩ báo quốc ân.
陛下休听小人之言，致生疑虑。	Bệ hạ hưu thính tiểu nhân chi ngôn, trí sinh nghi lự.
”后主良久乃曰：“朕不疑卿；卿且回汉中，俟魏国有变，再伐之可也。	" Hậu chủ lương cửu nãi viết: "Trẫm bất nghi khanh; khanh thả hồi hán trung, sĩ ngụy quốc hữu biến, tái phạt chi khả dã.
”姜维叹息出朝，自投汉中去讫。	" Khương duy thán tức xuất triều, tự đầu hán trung khứ cật. đường lại bỏ dở, biết là trúng phải mẹo phản gián của Đặng Ngải.

Paragraph 378
却说党均回到祁山寨中，报知此事。	Khước thuyết đảng quân hồi đáo kì sơn trại trung, báo tri thử sự.
邓艾与司马望曰：“君臣不和，必有内变。	Đặng ngải dữ Tư Mã vọng viết: "Quân thần bất hòa, tất hữu nội biến.
”就令党均入洛阳，报知司马昭。	" Tựu lệnh đảng quân nhập lạc dương, báo tri Tư Mã chiêu.
昭大喜，便有图蜀之心，乃问中护军贾充曰：“吾今伐蜀，如何？	Chiêu đại hỉ, tiện hữu đồ thục chi tâm, nãi vấn trung hộ quân cổ sung viết: "Ngô kim phạt thục, như hà?
”充曰：“未可伐也。	" Sung viết: "Vị khả phạt dã.
天子方疑主公，若一旦轻出，内难必作矣。	Thiên tử phương nghi chúa công, nhược nhất đán khinh xuất, nội nan tất tác hĩ.
旧年黄龙两见于宁陵井中，群臣表贺，以为祥瑞；天子曰：‘非祥瑞也。	Cựu niên hoàng long lưỡng kiến vu ninh lăng tỉnh trung, quần thần biểu hạ, dĩ vi tường thụy; thiên tử viết: 'Phi Tường Thụy Dã.
龙者君象，乃上不在天，下不在田，屈于井中，是幽困之兆也。	Long giả quân tượng, nãi thượng bất tại thiên, hạ bất tại điền, khuất vu tỉnh trung, thị u khốn chi triệu dã.
诗中之意，明明道着主公。	'Toại Tác trung chi ý, minh minh đạo trứ chúa công.
其诗曰：‘伤哉龙受困，不能跃深渊。	Kì thi viết: 'Thương Tai Long Thụ Khốn, Bất Năng Dược Thâm Uyên.
上不飞天汉，下不见于田。	Thượng bất phi thiên hán, hạ bất kiến vu điền.
蟠居于井底，鳅鳝舞其前。	Bàn cư vu tỉnh để, thu thiện vũ kì tiền.
藏牙伏爪甲，嗟我亦同然！	Tàng nha phục trảo giáp, ta ngã diệc đồng nhiên!
’”司马昭闻之大怒，谓贾充曰：“此人欲效曹芳也！	' "Tư Mã chiêu văn chi đại nộ, vị cổ sung viết: "Thử nhân dục hiệu tào phương dã!
若不早图，彼必害我。	Nhược bất tảo đồ, bỉ tất hại ngã.
”充曰：“某愿为主公早晚图之。	" Sung viết: "Mỗ nguyện vi chúa công tảo vãn đồ chi.
”时魏甘露五年夏四月，司马昭带剑上殿，髦起迎之。	" Thời ngụy cam lộ ngũ niên hạ tứ nguyệt, Tư Mã chiêu đái kiếm thượng điện, mao khởi nghênh chi.
群臣皆奏曰：“大将军功德巍巍，合为晋公，加九锡。	Quần thần giai tấu viết: "Đại tướng quân công đức nguy nguy, hợp vi tấn công, gia cửu tích.
”髦低头不答。	" Mao đê đầu bất đáp.
昭厉声曰：“吾父子兄弟三人有大功于魏，今为晋公，得毋不宜耶？	Chiêu lệ thanh viết: "Ngô phụ tử huynh đệ tam nhân hữu đại công vu ngụy, kim vi tấn công, đắc vô bất nghi da?
”髦乃应曰：“敢不如命？	" Mao nãi ứng viết: "Cảm bất như mệnh?
”昭曰：“《潜龙》之诗，视吾等如鳅鳝，是何礼也？	" Chiêu viết: "(tiềm long) Chi thi, thị ngô đẳng như thu thiện, thị hà lễ dã?
”髦不能答。	" Mao bất năng đáp.
昭冷笑下殿，众官凛然。	Chiêu lãnh tiếu hạ điện, chúng quan lẫm nhiên.
髦归后宫，召侍中王沈、尚书王经、散骑常侍王业三人，入内计议。	Mao quy hậu cung, triệu thị trung vương trầm, thượng thư vương kinh, tán kỵ thường thị vương nghiệp tam nhân, nhập nội kế nghị.
髦泣曰：“司马昭将怀篡逆，人所共知！	Mao khấp viết: "Tư Mã chiêu tương hoài soán nghịch, nhân sở cộng tri!
朕不能坐受废辱，卿等可助朕讨之！”王经奏曰：“不可。	Trẫm bất năng tọa tấu viết: "Bất khả.
昔鲁昭公不忍季氏，败走失国；今重权已归司马氏久矣，内外公卿，不顾顺逆之理，阿附奸贼，非一人也。	Tích lỗ chiêu công bất nhẫn quý thị, bại tẩu thất quốc; kim trọng quyền dĩ quy Tư Mã thị cửu hĩ, nội ngoại công khanh, bất cố thuận nghịch chi lí, a phụ gian tặc, phi nhất nhân dã.
且陛下宿卫寡弱，无用命之人。	Thả bệ hạ túc vệ quả nhược, vô dụng mệnh chi nhân.
陛下若不隐忍，祸莫大焉。	Bệ hạ nhược bất ẩn nhẫn, họa mạc đại yên.
且宜缓图，不可造次。	Thả nghi hoãn đồ, bất khả tạo thứ.
”髦曰：“是可忍也，孰不可忍也！	" Mao viết: "Thị khả nhẫn dã, thục bất khả nhẫn dã!
朕意已决，便死何惧！	Trẫm ý dĩ quyết, tiện tử hà cụ!
”言讫，即入告太后。	" Ngôn cật, tức nhập cáo thái hậu.
王沈、王业谓王经曰：“事已急矣。	Vương trầm, vương nghiệp vị vương kinh viết: "Sự dĩ cấp hĩ.
我等不可自取灭族之祸，当往司马公府下出首，以免一死。	Ngã đẳng bất khả tự thủ diệt tộc chi họa, đương vãng Tư Mã công phủ hạ xuất thủ, dĩ miễn nhất tử.
”经大怒曰：“主忧臣辱，主辱臣死，敢怀二心乎？	" Kinh đại nộ viết: "Chủ ưu thần nhục, chủ nhục thần tử, cảm hoài nhị tâm hồ?
”王沈、王业见经不从，径自往报司马昭去了。	" Vương trầm, vương nghiệp kiến kinh bất tòng, kính tự vãng báo Tư Mã chiêu khứ liễu.
少顷，魏主曹髦出内，令护卫焦伯，聚集殿中宿卫苍头官僮三百余人，鼓噪而出。	Thiểu khoảnh, ngụy chủ tào mao xuất nội, lệnh hộ vệ tiêu bá, tụ tập điện trung túc vệ thương đầu quan đồng tam bách dư nhân, cổ táo nhi xuất.
髦仗剑升辇，叱左右径出南阙。	Mao trượng kiếm thăng liễn, sất tả hữu kính xuất nam khuyết.
王经伏于辇前，大哭而谏曰：“今陛下领数百人伐昭，是驱羊而入虎口耳，空死无益。	Vương kinh phục vu liễn tiền, đại khốc nhi gián viết: "Kim bệ hạ lĩnh sổ bách nhân phạt chiêu, thị khu dương nhi nhập hổ khẩu nhĩ, dĩ hành, khanh vô trở đương.
”遂望云龙门而来。	" Toại vọng vân long môn nhi lai. ngươi không nên ngăn trở.

Paragraph 379
只见贾充戎服乘马，左有成倅，右有成济，引数千铁甲禁兵，呐喊杀来。	Chỉ kiến cổ sung nhung phục thừa mã, tả hữu thành thối, hữu hữu thành tể, dẫn sổ thiên thiết giáp cấm binh, nột hảm sát lai.
髦仗剑大喝曰：“吾乃天子也！	Mao trượng kiếm đại hát viết: "Ngô nãi thiên tử dã!
汝等突入宫庭，欲弑君耶？	Nhữ đẳng đột nhập cung đình, dục thí quân da?
”禁兵见了曹髦，皆不敢动。	" Cấm binh kiến liễu tào mao, giai bất cảm động.
贾充呼成济曰：“司马公养你何用？	Cổ sung hô thành tể viết: "Tư Mã công dưỡng nhĩ hà dụng?
正为今日之事也！	Chánh vi kim nhật chi sự dã!
”济乃绰戟在手，回顾充曰：“当杀耶？	" Tể nãi xước kích tại thủ, hồi cố sung viết: "Đương sát da?
当缚耶？	Đương phược da?
”充曰：“司马公有令；只要死的。	" Sung viết: "Tư Mã công hữu lệnh; chỉ yếu tử đích.
”成济撚戟直奔辇前。	" Thành tể niên kích trực bôn liễn tiền.
髦大喝曰：“匹夫敢无礼乎！	Mao đại hát viết: "Thất phu cảm vô lễ hồ!
”言未讫，被成济一戟刺中前胸，撞出辇来；再一戟，刃从背上透出，死于辇傍。	" Ngôn vị cật, bị thành tể nhất kích thứ trung tiền hung, chàng xuất liễn lai; tái nhất kích, nhận tòng bối thượng thấu xuất, tử vu liễn bàng.
焦伯挺枪来迎，被成济一戟刺死。	Tiêu bá đĩnh thương lai nghênh, bị thành tể nhất kích thứ tử.
众皆逃走。	Chúng giai đào tẩu.
王经随后赶来，大骂贾充曰：“逆贼安敢弑君耶！	Vương kinh tùy hậu cản lai, đại mạ cổ sung viết: da!
”充大怒，叱左右缚定，报知司马昭。	" Sung đại nộ, sất tả hữu phược định, báo tri Tư Mã chiêu.
昭入内，见髦已死，乃佯作大惊之状，以头撞辇而哭，令人报知各大臣。	Chiêu nhập nội, kiến mao dĩ tử, nãi dương tác đại kinh chi trạng, dĩ đầu chàng liễn nhi khốc, lệnh nhân báo tri các đại thần. nghịch tặc kia, sao dám giết vua

Paragraph 380
时太傅司马孚入内，见髦尸，首枕其股而哭曰：“弑陛下者，臣之罪也！	Thời thái phó Tư Mã phu nhập nội, kiến mao thi, thủ chẩm kì cổ nhi khốc viết: "Thí bệ hạ giả, thần chi tội dã!
”遂将髦尸用棺椁盛贮，停于偏殿之西。	" Toại tương mao thi dụng quan quách thịnh trữ, đình vu thiên điện chi tây.
昭入殿中，召群臣会议。	Chiêu nhập điện trung, triệu quần thần hội nghị.
群臣皆至，独有尚书仆射陈泰不至。	Quần thần giai chí, độc hữu thượng thư phó xạ trần thái bất chí.
昭令泰之舅尚书荀顗召之。	Chiêu lệnh thái chi cữu thượng thư tuân nghĩ triệu chi.
泰大哭曰：“论者以泰比舅，今舅实不如泰也。	Thái đại khốc viết: "Luận giả dĩ thái bỉ cữu, kim cữu thật bất như thái dã.
”乃披麻带孝而入，哭拜于灵前。	" Nãi phi ma đái hiếu nhi nhập, khốc bái vu linh tiền.
昭亦佯哭而问曰：“今日之事，何法处之？	Chiêu diệc dương khốc nhi vấn viết: "Kim nhật chi sự, hà pháp xử chi?
”泰曰：“独斩贾充，少可以谢天下耳。	" Thái viết: "Độc trảm cổ sung, thiểu khả dĩ tạ thiên hạ nhĩ.
”昭沉吟良久，又问曰：“再思其次？	" Chiêu trầm ngâm lương cửu, hựu vấn viết: "Tái tư kì thứ?
”泰曰：“惟有进于此者，不知其次。	" Thái viết: "Duy hữu tiến vu thử giả, bất tri kì thứ.
”昭曰：“成济大逆不道，可剐之，灭其三族。	" Chiêu viết: "Thành tể đại nghịch bất đạo, khả quả chi, diệt kì tam tộc.
”济大骂昭曰：“非我之罪，是贾充传汝之命！”昭令先割其舌。	" Tể đại mạ chiêu viết: "Phi cát kì thiệt.
济至死叫屈不绝。	Tể chí tử khiếu khuất bất tuyệt.
弟成倅亦斩于市，尽灭三族。	Đệ thành thối diệc trảm vu thị, tẫn diệt tam tộc.
后人有诗叹曰：“司马当年命贾充，弑君南阙赭袍红。	Hậu nhân hữu thi thán viết: "Tư Mã đương niên mệnh cổ sung, thí quân nam khuyết giả bào hồng.
却将成济诛三族，只道军民尽耳聋。	Khước tương thành tể tru tam tộc, chỉ đạo quân dân tẫn nhĩ lung.
”	" Lại đem Thành Tế giết ba họ, Tiếng tăm đồn đại kẻ gian hùng.

Paragraph 381
昭又使人收王经全家下狱。	Chiêu hựu sử nhân thu vương kinh toàn gia hạ ngục.
王经正在廷尉厅下，忽见缚其母至。	Vương kinh chánh tại đình úy thính hạ, hốt kiến phược kì mẫu chí.
经叩头大哭曰：“不孝子累及慈母矣！	Kinh khấu đầu đại khốc viết: "Bất hiếu tử luy cập từ mẫu hĩ!
”母大笑曰：“人谁不死？	" Mẫu đại tiếu viết: "Nhân thùy bất tử?
正恐不得死所耳！	Chánh khủng bất đắc tử sở nhĩ!
以此弃命，何恨之有！	Dĩ thử khí mệnh, hà hận chi hữu!
”次日，王经全家皆押赴东市。	" Thứ nhật, vương kinh toàn gia giai áp phó đông thị.
王经母子含笑受刑。	Vương kinh mẫu tử hàm tiếu thụ hình.
满城士庶，无不垂泪。	Mãn thành sĩ thứ, vô bất thùy lệ.
后人有诗曰：“汉初夸伏剑，汉末见王经：真烈心无异，坚刚志更清。	Hậu nhân hữu thi viết: "Hán sơ khoa phục kiếm, hán mạt kiến vương kinh: chân liệt tâm vô dị, kiên cương chí canh thanh.
节如泰华重，命似鸿毛轻。	Tiết như thái hoa trọng, mệnh tự hồng mao khinh.
母子声名在，应同天地倾。	Mẫu tử thanh danh tại, ứng đồng thiên địa khuynh.
”太傅司马孚请以王礼葬曹髦，昭许之。	"Thái phó Tư Mã phu thỉnh dĩ vương lễ táng tào mao, chiêu hứa chi.
贾充等劝司马昭受魏禅，即天子位。	Cổ sung đẳng khuyến Tư Mã chiêu thụ ngụy thiện, tức thiên tử vị.
昭曰：昔文王三分天下有其二，以服事殷，故圣人称为至德。	Chiêu viết: tích văn kì nhị, dĩ phục sự ân, cố thánh nhân xưng vi chí đức.
魏武帝不肯受禅于汉，犹吾之不肯受禅于魏也。	Ngụy võ đế bất khẳng thụ thiện vu hán, do ngô chi bất khẳng thụ thiện vu ngụy dã.
”贾充等闻言，已知司马昭留意于子司马炎矣，遂不复劝进。	"Cổ sung đẳng văn ngôn, dĩ tri Tư Mã chiêu lưu ý vu tử Tư Mã viêm hĩ, toại bất phục khuyến tiến.
是年六月，司马昭立常道乡公曹璜为帝，改元景元元年。	Thị niên lục nguyệt, Tư Mã chiêu lập thường đạo hương công tào hoàng vi đế, cải nguyên cảnh nguyên nguyên niên.
璜改名曹免，字景明。	Hoàng cải danh tào miễn, tự cảnh minh.
乃武帝曹操之孙，燕王曹宇之子也。	Nãi võ đế tào thao chi tôn, yến vương tào vũ chi tử dã.
奂封昭为相国、晋公，赐钱十万、绢万匹。	Hoán phong chiêu vi tương quốc, tấn công, tứ tiền thập vạn, quyên vạn thất.
其文武多官，各有封赏。	Kì văn võ đa quan, các hữu phong thưởng.
早有细作报入蜀中。	Tảo hữu tế tác báo nhập thục trung.
