Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”于是引军前进。	" Vu thị dẫn quân tiền tiến.
有人将此言报知曹操。	Hữu nhân tương thử ngôn báo tri tào thao.
操喜曰：“庞德忠勇如此，孤何忧焉！	Thao hỉ viết: "Bàng đức trung dũng như thử, cô hà ưu yên!
”贾诩曰：“庞德恃血气之勇，欲与关某决死战，臣窃虑之。	" Cổ hủ viết: "Bàng đức thị huyết khí chi dũng, dục dữ quan mỗ quyết tử chiến, thần thiết lự chi.
”操然其言，急令人传旨戒庞德曰：“关某智勇双全，切不可轻敌。	" Thao nhiên kì ngôn, cấp lệnh nhân truyền chỉ giới bàng đức viết: "Quan mỗ trí dũng song toàn, thiết bất khả khinh địch.
可取则取，不可取则宜谨守。	Khả thủ tắc thủ, bất khả thủ tắc nghi cẩn thủ.
”庞德闻命，谓众将曰：“大王何重视关某也？	" Bàng đức văn mệnh, vị chúng tướng viết: "Đại vương hà trọng thị quan mỗ dã?
吾料此去，当挫关某三十年之声价。	Ngô liêu thử khứ, đương tỏa quan mỗ tam thập niên chi thanh giới.
”禁曰：“魏王之言，不可不从。	" Cấm viết: "Ngụy vương chi ngôn, bất khả bất tòng.
”德奋然趱军前至樊城，耀武扬威，鸣锣击鼓。	" Đức phấn nhiên toản quân tiền chí phàn thành, diệu võ dương uy, minh la kích cổ.

Paragraph 453
却说关公正坐帐中，忽探马飞报：“曹操差于禁为将，领七枝精壮兵到来。	Khước thuyết quan công chánh tọa trướng trung, hốt tham mã phi báo: "Tào thao sai vu cấm vi tương, lĩnh thất chi tinh tráng binh đáo lai.
前部先锋庞德，军前抬一木榇，口出不逊之言，誓欲与将军决一死战。	Tiền bộ tiên phong bàng đức, quân tiền sĩ nhất mộc sấn, khẩu xuất bất tốn chi ngôn, thệ dục dữ tướng quân Quan Công đang ngồi trong trướng, quyết nhất tử chiến.
兵离城止三十里矣。	Binh li thành chỉ tam thập lí hĩ.
”关公闻言，勃然变色，美髯飘动，大怒曰：“天下英雄，闻吾之名，无不畏服；庞德竖子，何敢藐视吾耶！	" Quan công văn ngôn, bột nhiên biến sắc, mĩ nhiêm phiêu động, đại nộ viết: "Thiên hạ anh hùng, văn ngô chi danh, vô bất úy phục; bàng đức thụ tử, hà cảm miểu thị ngô da!
关平一面攻打樊城，吾自去斩此匹夫，以雪吾恨！	Quan bình nhất diện công đả phàn thành, ngô tự khứ trảm thử thất phu, dĩ tuyết ngô hận!
”平曰：“父亲不可以泰山之重，与顽石争高下。	" Bình viết: "Phụ thân bất khả dĩ thái sơn chi trọng, dữ ngoan thạch tranh cao hạ.
辱子愿代父去战庞德。	Nhục tử nguyện đại phụ khứ chiến bàng đức.
”关公曰：“汝试一往，吾随后便来接应。	" Quan công viết: "Nhữ thí nhất vãng, ngô tùy hậu tiện lai tiếp ứng.
”关平出帐，提刀上马，领兵来迎庞德。	" Quan bình xuất trướng, đề đao thượng mã, lĩnh binh lai nghênh bàng đức.
两阵对圆，魏营一面皂旗上大书“南安庞德”四个白字。	Lưỡng trận đối viên, ngụy doanh nhất diện tạo kì thượng đại thư "Nam an bàng đức" tứ cá bạch tự.
庞德青袍银铠，钢刀白马，立于阵前；背后五百军兵紧随，步卒数人肩抬木榇而出。	Bàng đức thanh bào ngân khải, cương đao bạch mã, lập vu trận tiền; bối hậu ngũ bách quân binh khẩn tùy, bộ tốt sổ nhân kiên sĩ mộc sấn nhi xuất.
关平大骂庞德：“背主之贼！	Quan bình đại mạ bàng đức: "Bối chủ chi tặc!
”庞德问部卒曰：“此何人也？	" Bàng đức vấn bộ tốt viết: "Thử hà nhân dã?
”或答曰：“此关公义子关平也。	" Hoặc đáp viết: "Thử quan công nghĩa tử quan bình dã.
”德叫曰：“吾奉魏王旨，来取汝父之首！	" Đức khiếu viết: "Ngô phụng ngụy vương chỉ, lai thủ nhữ phụ chi thủ!
汝乃疥癞小儿，吾不杀汝！	Nhữ nãi giới lại tiểu nhi, ngô bất sát nhữ!
快唤汝父来！	Khoái hoán nhữ phụ lai!
战三十合，不分胜负，两家各歇。	" hợp, bất phân thắng phụ, lưỡng gia các hiết.
早有人报知关公。	Tảo hữu nhân báo tri quan công.
公大怒，令廖化去攻樊城，自己亲来迎敌庞德。	Công đại nộ, lệnh liêu hóa khứ công phàn thành, tự kỷ thân lai nghênh địch bàng đức.
关平接着，言与庞德交战，不分胜负。	Quan bình tiếp trứ, ngôn dữ bàng đức giao chiến, bất phân thắng phụ.
关公随即横刀出马，大叫曰：“关云长在此，庞德何不早来受死！	Quan công tùy tức hoành đao xuất mã, đại khiếu viết: "Quan vân trường tại thử, bàng đức hà bất tảo lai thụ tử!
”鼓声响处，庞德出马曰：“吾奉魏王旨，特来取汝首！	" Cổ thanh hưởng xử, bàng đức xuất mã viết: "Ngô phụng ngụy vương chỉ, đặc lai thủ nhữ thủ!
恐汝不信，备榇在此。	Khủng nhữ bất tín, bị sấn tại thử.
汝若怕死，早下马受降！	Nhữ nhược phạ tử, tảo hạ mã thụ hàng!
”关公大骂曰：“量汝一匹夫，亦何能为！	" Quan công đại mạ viết: "Lượng nhữ nhất thất phu, diệc hà năng vi!
可惜我青龙刀斩汝鼠贼！	Khả tích ngã thanh long đao trảm nhữ thử tặc!
”纵马舞刀，来取庞德。	" Túng mã vũ đao, lai thủ bàng đức.
德轮刀来迎。	Đức luân đao lai nghênh.
二将战有百余合，精神倍长。	Nhị tương chiến hữu bách dư hợp, tinh thần bội trường.
两军各看得痴呆了。	Lưỡng quân các khán đắc si ngốc liễu.
魏军恐庞德有失，急令鸣金收军。	Ngụy quân khủng bàng đức hữu thất, cấp lệnh minh kim thu quân.
关平恐父年老，亦急鸣金。	Quan bình khủng phụ niên lão, diệc cấp minh kim.
二将各退。	Nhị tương các thối.
庞德归寨，对众曰：“人言关公英雄，今日方信也。	Bàng đức quy trại, đối chúng viết: "Nhân ngôn quan công anh hùng, kim nhật phương tín dã.
”正言间，于禁至。	" Chánh ngôn gian, vu cấm chí.
相见毕，禁曰：“闻将军战关公，百合之上，未得便宜，何不且退军避之？	Tương kiến tất, cấm viết: "Văn tướng quân chiến quan công, bách hợp chi thượng, vị đắc tiện nghi, hà bất thả thối quân tị chi?
”德奋然曰：“魏王命将军为大将，何太弱也？	" Đức phấn tướng quân vi đại tướng, hà thái nhược dã?
吾来日与关某共决一死，誓不退避！	Ngô lai nhật dữ quan mỗ cộng quyết nhất tử, thệ bất thối tị!
”禁不敢阻而回。	" Cấm bất cảm trở nhi hồi. nữa, cáo từ ra về.

Paragraph 454
却说关公回寨，谓关平曰：“庞德刀法惯熟，真吾敌手。	Khước thuyết quan công hồi trại, vị quan bình viết: "Bàng đức đao pháp quán thục, chân ngô địch thủ.
”平曰：“俗云初生之犊不惧虎，父亲纵然斩了此人，只是西羌一小卒耳；倘有疏虞，非所以重伯父之托也。	" Bình viết: "Tục vân sơ sinh chi độc bất cụ hổ, phụ thân túng nhiên trảm liễu thử nhân, chỉ thị tây khương nhất tiểu tốt nhĩ; thảng hữu sơ ngu, phi sở dĩ trọng bá phụ chi thác dã.
”关公曰：“吾不杀此人，何以雪恨？	" Quan công viết: "Ngô bất sát thử nhân, hà dĩ tuyết hận?
吾意已决，再勿多言！	Ngô ý dĩ quyết, tái vật đa ngôn!
”次日，上马引兵前进。	" Thứ nhật, thượng mã dẫn binh tiền tiến.
庞德亦引兵来迎。	Bàng đức diệc dẫn binh lai nghênh.
两阵对圆，二将齐出，更不打话，出马交锋。	Lưỡng trận đối viên, nhị tương tề xuất, canh bất đả thoại, xuất mã giao phong.
斗至五十余合，庞德拨回马，拖刀而走。	Đấu chí ngũ thập dư hợp, bàng đức bát hồi mã, tha đao nhi tẩu.

Paragraph 455
关公随后追赶。	Quan công tùy hậu truy cản.
关平恐有疏失，亦随后赶去。	Quan bình khủng hữu sơ thất, diệc tùy hậu cản khứ.
关公口中大骂：“庞贼！	Quan công khẩu trung đại mạ: "Bàng tặc!
欲使拖刀计，吾岂惧汝？	Dục sử tha đao kế, ngô khởi cụ nhữ?
”原来庞德虚作拖刀势，却把刀就鞍鞒挂住，偷拽雕弓，搭上箭，射将来。	Quan Bình đức hư tác tha đao thế, khước bả đao tựu an kiều quải trụ, thâu duệ điêu cung, đáp thượng tiễn, xạ tương lai.
关平眼快，见庞德拽弓，大叫：“贼将休放冷箭！	Quan bình nhãn khoái, kiến bàng đức duệ cung, đại khiếu: "Tặc tương hưu phóng lãnh tiễn!
”关公急睁眼看时，弓弦响处，箭早到来；躲闪不及，正中左臂。	" Quan công cấp tĩnh nhãn khán thời, cung huyền hưởng xử, tiễn tảo đáo lai; đóa thiểm bất cập, chánh trung tả tí.
关平马到，救父回营。	Quan bình mã đáo, cứu phụ hồi doanh.
庞德勒回马轮刀赶来，忽听得本营锣声大震。	Bàng đức lặc hồi mã luân đao cản lai, hốt thính đắc bổn doanh la thanh đại chấn.
德恐后军有失，急勒马回。	Đức khủng hậu quân hữu thất, cấp lặc mã hồi.
原来于禁见庞德射中关公，恐他成了大功，灭己威风，故鸣金收军。	Nguyên lai vu cấm kiến bàng đức xạ trúng quan công, khủng tha thành liễu đại công, diệt kỷ uy phong, cố minh kim thu quân.
庞德回马，问：“何故鸣金？	Bàng đức hồi mã, vấn: "Hà cố minh kim?
”于禁曰：“魏王有戒：关公智勇双全。	" Vu cấm viết: "Ngụy vương hữu giới: quan công trí dũng song toàn.
他虽中箭，只恐有诈，故鸣金收军。	Tha tuy trúng tiễn, chỉ khủng hữu trá, cố minh kim thu quân.
”德曰：“若不收军，吾已斩了此人也。	"Đức viết: "Nhược bất thu quân, ngô dĩ trảm liễu thử nhân dã.
”禁曰：“紧行无好步，当缓图之。	" Cấm viết: "Khẩn hành vô hảo bộ, đương hoãn đồ chi.
”庞德不知于禁之意，只懊悔不已。	" Bàng đức bất tri vu cấm chi ý, chỉ áo hối

Paragraph 456
却说关公回营，拔了箭头。	Khước thuyết quan công hồi doanh, bạt liễu tiễn đầu.
幸得箭射不深，用金疮药敷之。	Hạnh đắc tiễn xạ bất thâm, dụng kim sang dược phu chi.
关公痛恨庞德，谓众将曰：“吾誓报此一箭之仇！	Quan công thống hận bàng đức, vị chúng Lại nói Quan Công về đến trại, rút tướng viết: "Ngô thệ báo thử nhất tiễn chi cừu!
”众将对曰：“将军且暂安息几日，然后与战未迟。	" Chúng tướng đối viết: "Tướng quân thả tạm an tức kỉ nhật, nhiên hậu dữ chiến vị trì.
”次日，人报庞德引军搦战。	" Thứ nhật, nhân báo bàng đức dẫn quân nạch chiến.
关公就要出战。	Quan công tựu yếu xuất chiến.
众将劝住。	Chúng tướng khuyến trụ.
庞德令小军毁骂。	Bàng đức lệnh tiểu quân hủy mạ.
关平把住隘口，分付众将休报知关公。	Quan bình bả trụ ải khẩu, phân phó chúng tướng hưu báo tri quan công.
庞德搦战十余日，无人出迎，乃与于禁商议曰：“眼见关公箭疮举发，不能动止；不若乘此机会，统七军一拥杀入寨中，可救樊城之围。	Bàng đức nạch chiến thập dư nhật, vô nhân xuất nghênh, nãi dữ vu cấm thương nghị viết: "Nhãn kiến quan công tiễn sang cử phát, bất năng động chỉ; bất nhược thừa thử cơ hội, thống thất quân nhất ủng sát nhập trại trung, khả cứu phàn thành chi vi.
”于禁恐庞德成功，只把魏王戒旨相推，不肯动兵。	" Vu cấm khủng bàng đức thành công, chỉ bả ngụy vương giới chỉ tương thôi, bất khẳng động binh.
庞德累欲动兵，于禁只不允，乃移七军转过山口，离樊城北十里，依山下寨，禁自领兵截断大路，令庞德屯兵于谷后，使德不能进兵成功。	Bàng đức luy dục động binh, vu cấm chỉ bất duẫn, nãi di thất quân chuyển quá sơn khẩu, li phàn thành bắc thập lí, y sơn hạ trại, cấm tự lĩnh binh tiệt đoạn đại lộ, lệnh bàng đức truân binh vu cốc hậu, sử đức bất năng tiến binh

Paragraph 457
却说关平见关公箭疮已合，甚是喜悦。	Khước thuyết quan bình kiến quan công tiễn sang dĩ hợp, thậm thị hỉ duyệt.
忽听得于禁移七军于樊城之北下寨，未知其谋，即报知关公。	Hốt thính đắc vu cấm di thất quân vu phàn thành chi bắc hạ trại, vị tri kì mưu, tức báo tri quan công.
公遂上马，引数骑上高阜处望之，见樊城城上旗号不整，军士慌乱；城北十里山谷之内，屯着军马；又见襄江水势甚急，看了半响，唤向导官问曰：“樊城北十里山谷，是何地名？	Công toại thượng mã, dẫn sổ kỵ thượng cao phụ xử vọng chi, kiến phàn thành thành thượng kì hào bất chỉnh, quân sĩ hoảng loạn; thành bắc thập lí sơn cốc chi nội, truân trứ quân mã; hựu kiến tương giang thủy thế thậm cấp, khán liễu bán hưởng, hoán hướng đạo quan vấn viết: "Phàn thành bắc thập lí sơn cốc, thị hà địa danh?
”对曰：“罾口川也。	" Đối viết: "Tăng khẩu xuyên dã.
”关公喜曰：“于禁必为我擒矣。	" Quan công hỉ viết: "Vu cấm tất vi ngã cầm hĩ.
”将士问曰：“将军何以知之？	" Tướng sĩ vấn viết: "Tướng quân hà dĩ tri chi?
”关公曰：“鱼入罾口，岂能久乎？	" Quan công viết: "Ngư nhập tăng khẩu, khởi năng cửu hồ?
”诸将未信。	" Chư tướng vị tín.
公回本寨。	Công hồi bổn trại.
时值八月秋天，骤雨数日。	Thời trị bát nguyệt thu thiên, sậu vũ sổ nhật.
公令人预备船筏，收拾水具。	Công lệnh nhân dự bị thuyền phiệt, thu thập thủy cụ.
关平问曰：“陆地相持，何用水具？	Quan bình vấn viết: "Lục địa tương trì, hà dụng thủy cụ?
”公曰：“非汝所知也。	" Công viết: "Phi nhữ sở tri dã.
于禁七军不屯于广易之地，而聚于罾口川险隘之处；方今秋雨连绵，襄江之水必然泛涨；吾已差人堰住各处水口，待水发时，乘高就船，放水一淹，樊城罾口川之兵皆为鱼鳖矣。	Vu cấm thất quân bất truân vu quảng dịch chi địa, nhi tụ vu tăng khẩu xuyên hiểm ải chi xử; phương kim thu vũ liên miên, tương giang chi thủy tất nhiên phiếm trướng; ngô dĩ sai nhân yển trụ các xử thủy khẩu, đãi thủy phát thời, thừa cao tựu thuyền, phóng thủy nhất yêm, phàn thành tăng khẩu xuyên chi binh giai vi ngư miết hĩ.
”关平拜服。	" Quan bình bái phục.
却说魏军屯于罾口川，连日大雨不止，督将成何来见于禁曰：“大军屯于川口，地势甚低；虽有土山，离营稍远。	Khước thuyết ngụy quân truân vu tăng khẩu xuyên, liên nhật đại vũ bất chỉ, đốc tương thành hà lai kiến vu cấm viết: "Đại thế thậm đê; tuy hữu thổ sơn, li doanh sảo viễn.
即今秋雨连绵，军士艰辛。	Tức kim thu vũ liên miên, quân sĩ gian tân.
近有人报说荆州兵移于高阜处，又于汉水口预备战筏；倘江水泛涨，我军危矣，宜早为计。	Cận hữu nhân báo thuyết kinh châu binh di vu cao phụ xử, hựu vu hán thủy khẩu dự bị chiến phiệt; thảng giang thủy phiếm trướng, ngã quân nguy hĩ, nghi tảo vi kế.
”于禁叱曰：“匹夫惑吾军心耶！	" Vu cấm sất viết: "Thất phu hoặc ngô quân tâm da!
再有多言者斩之！	Tái hữu đa ngôn giả trảm chi!
”成何羞惭而退，却来见庞德，说此事。	" Thành hà tu tàm nhi thối, khước lai kiến bàng đức, thuyết thử sự.
德曰：“汝所见甚当。	Đức viết: "Nhữ sở kiến thậm đương.
于将军不肯移兵，吾明日自移军屯于他处。	Vu tướng quân bất khẳng di binh, ngô minh nhật tự di quân truân vu tha xử.
”	" núi đất, nhưng cách trại hơi xa.

Paragraph 458
计议方定，是夜风雨大作。	Kế nghị phương định, thị dạ phong vũ đại tác.
庞德坐于帐中，只听得万马争奔，征鼙震地。	Bàng đức tọa vu trướng trung, chỉ thính đắc vạn mã tranh bôn, chinh bề chấn địa.
德大惊，急出帐上马看时，四面八方，大水骤至；七军乱窜，随波逐浪者，不计其数。	Đức đại kinh, cấp xuất trướng thượng mã khán thời, tứ diện bát phương, đại thủy sậu chí; thất quân loạn thoán, tùy ba trục lãng giả, bất kế kì sổ.
平地水深丈余，于禁、庞德与诸将各登小山避水。	Bình địa thủy thâm trượng dư, vu cấm, bàng đức dữ chư tướng các đăng tiểu sơn tị thủy.
比及平明，关公及众将皆摇旗鼓噪，乘大船而来。	Bỉ cập bình minh, quan công cập chúng tướng giai diêu kì cổ táo, thừa đại thuyền nhi lai.
于禁见四下无路，左右止有五六十人，料不能逃，口称愿降。	Vu cấm kiến tứ hạ vô lộ, tả hữu chỉ hữu ngũ lục thập nhân, liêu bất năng đào, khẩu xưng nguyện hàng.
关公令尽去衣甲，拘收入船，然后来擒庞德。	Quan công lệnh tẫn khứ y giáp, câu thu nhập thuyền, nhiên hậu lai cầm bàng đức.
时庞德并二董及成何，与步卒五百人，皆无衣甲，立在堤上。	Thời bàng đức tịnh nhị đổng cập thành hà, dữ bộ tốt ngũ bách nhân, giai vô y giáp, lập tại đê thượng.
见关公来，庞德全无惧怯，奋然前来接战。	Kiến quan công lai, bàng đức toàn vô cụ khiếp, phấn nhiên tiền lai tiếp chiến.
关公将船四面围定，军士一齐放箭，射死魏兵大半。	Quan công tương thuyền tứ diện vi định, quân sĩ nhất tề phóng tiễn, xạ tử ngụy binh đại bán.
董衡、董超见势已危，乃告庞德曰：“军士折伤大半，四下无路，不如投降。	Đổng hành, đổng siêu kiến thế dĩ nguy, nãi cáo bàng đức viết: "Quân sĩ chiết thương đại bán, tứ hạ vô lộ, bất như đầu hàng.
”庞德大怒曰：“吾受魏王厚恩，岂肯屈节于人！	" Bàng đức đại nộ viết: "Ngô thụ ngụy vương hậu ân, khởi khẳng khuất tiết vu nhân!
”遂亲斩董衡、董超于前，厉声曰：“再说降者，以此二人为例！	" Toại thân trảm đổng hành, đổng siêu vu tiền, lệ thanh viết: "Tái thuyết hàng giả, dĩ thử nhị nhân vi lệ!
”于是众皆奋力御敌。	" Vu thị chúng giai phấn lực ngự địch.
自平明战至日中，勇力倍增。	Tự bình minh chiến chí nhật trung, dũng lực bội tăng.
关公催四面急攻，矢石如雨。	Quan công thôi tứ diện cấp công, thỉ thạch như vũ.
德令军士用短兵接战。	Đức lệnh quân sĩ dụng đoản binh tiếp chiến.
德回顾成何曰：“吾闻勇将不怯死以苟免，壮士不毁节而求生。	Đức hồi cố thành hà viết: "Ngô văn dũng tướng bất khiếp tử dĩ cẩu miễn, tráng sĩ bất hủy tiết nhi cầu sinh.
今日乃我死日也。	Kim nhật nãi ngã tử nhật dã.
汝可努力死战。	Nhữ khả nỗ lực tử chiến.
”	"

Paragraph 459
成何依令向前，被关公一箭射落水中。	Thành hà y lệnh hướng tiền, bị quan công nhất tiễn xạ lạc thủy trung.
众军皆降，止有庞德一人力战。	Chúng quân giai hàng, chỉ hữu bàng đức nhất nhân lực chiến.
正遇荆州数十人，驾小船近堤来，德提刀飞身一跃，早上小船，立杀十余人，余皆弃船赴水逃命。	Chánh ngộ kinh châu sổ thập nhân, giá tiểu thuyền cận đê lai, đức đề đao phi thân nhất dược, tảo thượng tiểu thuyền, lập sát thập dư nhân, dư giai khí thuyền phó thủy đào mệnh.
庞德一手提刀，一手使短棹，欲向樊城而走。	Bàng đức nhất thủ đề đao, nhất thủ sử đoản trạo, dục hướng phàn thành nhi tẩu.
只见上流头，一将撑大筏而至，将小船撞翻，庞德落于水中。	Chỉ kiến thượng lưu đầu, nhất tương xanh đại phiệt nhi chí, tương tiểu thuyền chàng phiên, bàng đức lạc vu thủy trung.
船上那将跳下水去，生擒庞德上船。	Thuyền thượng na tương khiêu hạ thủy khứ, sinh cầm bàng đức thượng thuyền.
众视之，擒庞德者，乃周仓也。	Chúng thị chi, cầm bàng đức giả, nãi chu thương dã.
仓素知水性，又在荆州住了数年，愈加惯熟；更兼力大，因此擒了庞德。	Thương tố tri thủy tính, hựu tại kinh châu trụ liễu sổ niên, dũ gia quán thục; canh kiêm lực đại, nhân thử cầm liễu bàng đức.
于禁所领七军，皆死于水中。	Vu cấm sở lĩnh thất quân, giai tử vu thủy trung.
其会水者料无去路，亦皆投降。	Kì hội thủy giả liêu vô khứ lộ, diệc giai đầu hàng.
后人有诗曰：“夜半征鼙响震天，襄樊平地作深渊。	Hậu nhân hữu thi viết: "Dạ bán chinh bề hưởng chấn thiên, tương phàn bình địa tác thâm uyên.
关公神算谁能及，华夏威名万古传。	Quan công thần toán thùy năng cập, hoa hạ uy danh vạn cổ truyền.
”	"

Paragraph 460
关公回到高阜去处，升帐而坐。	Quan công hồi đáo cao phụ khứ xử, thăng trướng nhi tọa.
群刀手押过于禁来。	Quần đao thủ áp quá vu cấm lai.
禁拜伏于地，乞哀请命。	Cấm bái phục vu địa, khất ai thỉnh mệnh.
关公曰：“汝怎敢抗吾？	Quan công viết: "Nhữ chẩm cảm kháng ngô?
”禁曰：“上命差遣，身不由己。	" Cấm viết: "Thượng mệnh sai khiển, thân bất do kỷ.
望君侯怜悯，誓以死报。	Vọng quân hầu liên mẫn, thệ dĩ tử báo.
”公绰髯笑曰：“吾杀汝，犹杀狗彘耳，空污刀斧！	" Công xước nhiêm tiếu viết: "Ngô sát nhữ, do sát cẩu trệ nhĩ, không ô đao phủ!
”令人缚送荆州大牢内监候：“待吾回，别作区处。	" Lệnh nhân phược tống kinh châu đại lao nội giam hậu: "Đãi ngô hồi, biệt tác khu xử.
”	"

Paragraph 461
发落去讫。	Phát lạc khứ cật.
关公又令押过庞德。	Quan công hựu lệnh áp quá bàng đức.
德睁眉怒目，立而不跪，关公曰：“汝兄现在汉中；汝故主马超，亦在蜀中为大将。	Đức tĩnh mi nộ mục, lập nhi bất quỵ, quan công viết: "Nhữ huynh hiện tại hán trung; nhữ cố chủ mã siêu, diệc tại thục trung vi đại tướng.
汝如何不早降？	Nhữ như hà bất tảo hàng?
”德大怒曰：“吾宁死于刀下，岂降汝耶！	" Đức đại nộ viết: "Ngô ninh tử vu đao hạ, khởi hàng nhữ da!
”骂不绝口。	" Mạ bất tuyệt khẩu.
公大怒，喝令刀斧手推出斩之。	Công đại nộ, hát lệnh đao phủ thủ thôi xuất trảm chi.
德引颈受刑。	Đức dẫn cảnh thụ hình.
关公怜而葬之。	Quan công liên nhi táng chi.
于是乘水势未退，复上战船，引大小将校来攻樊城。	Vu thị thừa thủy thế vị thối, phục thượng chiến thuyền, dẫn đại tiểu tướng giáo lai công phàn thành.
却说樊城周围，白浪滔天，水势益甚，城垣渐渐浸塌，男女担土搬砖，填塞不住。	Khước thuyết phàn thành chu vi, bạch lãng thao thiên, thủy thế ích thậm, thành viên tiệm tiệm tẩm tháp, nam nữ đam thổ bàn chuyên, điền tắc bất trụ.
曹军众将，无不丧胆，慌忙来告曹仁曰：“今日之危，非力可救；可趁敌军未至，乘舟夜走，虽然失城，尚可全身。	Tào quân chúng tướng, vô bất tang đảm, hoảng mang lai cáo tào nhân viết: "Kim nhật chi nguy, phi lực khả cứu; khả sấn tẩu, tuy nhiên thất thành, thượng khả toàn thân.
”仁从其言。	" Nhân tòng kì ngôn.
方欲备船出走，满宠谏曰：“不可。	Phương dục bị thuyền xuất tẩu, mãn sủng gián viết: "Bất khả.
山水骤至，岂能长存？	Sơn thủy sậu chí, khởi năng trường tồn?
不旬日即当自退。	Bất tuần nhật tức đương tự thối.
关公虽未攻城，已遣别将在郏下。	Quan công tuy vị công thành, dĩ khiển biệt tương tại giáp hạ.
其所以不敢轻进者，虑吾军袭其后也。	Kì sở dĩ bất cảm khinh tiến giả, lự ngô quân tập kì hậu dã.
今若弃城而去，黄河以南，非国家之有矣。	Kim nhược khí thành nhi khứ, hoàng hà dĩ nam, phi quốc gia chi hữu hĩ.
”愿将军固守此城，以为保障。	" Nguyện tướng quân cố thủ thử thành, dĩ vi bảo chướng.
”仁拱手称谢曰：“非伯宁之教，几误大事。	"Nhân củng thủ xưng tạ viết: "Phi bá ninh chi giáo, kỉ ngộ đại sự.
”乃骑白马上城，聚众将发誓曰：“吾受魏王命，保守此城；但有言弃城而去者斩！	" Nãi kỵ bạch mã thượng thành, tụ chúng tướng phát thệ viết: "Ngô thụ ngụy vương mệnh, bảo thủ thử thành; đãn hữu ngôn khí thành nhi khứ giả trảm!
”诸将皆曰：“某等愿以死据守！	" Chư tướng giai viết: "Mỗ đẳng nguyện dĩ tử cư thủ!
”仁大喜，就城上设弓弩数百，军士昼夜防护，不敢懈怠。	" Nhân đại hỉ, tựu thành thượng thiết cung nỗ sổ bách, quân sĩ trú dạ phòng hộ, bất cảm giải đãi.
老幼居民，担土石填塞城垣。	Lão ấu cư dân, đam thổ thạch điền tắc thành viên.
旬日之内，水势渐退。	Tuần nhật chi nội, thủy thế tiệm thối. trốn ngay đêm nay là hơn.

Paragraph 462
关公自擒魏将于禁等，威震天下，无不惊骇。	Quan công tự cầm ngụy tương vu cấm đẳng, uy chấn thiên hạ, vô bất kinh hãi.
忽次子关兴来寨内省亲。	Hốt thứ tử quan hưng lai trại nội tỉnh thân.
公就令兴赍诸官立功文书去成都见汉中王，各求升迁。	Công tựu lệnh hưng tê chư quan lập Quan Công từ khi bắt được bọn công văn thư khứ thành đô kiến hán trung vương, các cầu thăng thiên.
兴拜辞父亲，径投成都去讫。	Hưng bái từ phụ

Paragraph 463
却说关公分兵一半，直抵郏下。	Khước thuyết quan công phân binh nhất bán, trực để giáp hạ.
公自领兵四面攻打樊城。	Công tự lĩnh binh tứ diện công đả phàn thành.
当日关公自到北门，立马扬鞭，指而问曰：“汝等鼠辈，不早来降，更待何时？	Đương nhật quan công tự đáo bắc môn, lập mã dương tiên, chỉ nhi vấn viết: "Nhữ đẳng thử bối, bất tảo lai hàng, canh đãi hà thời?
”正言间，曹仁在敌楼上，见关公身上止披掩心甲，斜袒着绿袍，乃急招五百弓弩手，一齐放箭。	" Chánh ngôn gian, tào nhân tại địch lâu thượng, kiến quan công thân thượng chỉ phi yểm tâm giáp, tà đản trứ lục bào, nãi cấp chiêu ngũ bách cung nỗ thủ, nhất tề phóng tiễn.
公急勒马回时，右臂上中一弩箭，翻身落马。	Công cấp lặc mã hồi thời, hữu tí thượng trung nhất nỗ tiễn, phiên thân lạc mã.
正是：水里七军方丧胆，城中一箭忽伤身。	Chánh thị: thủy lí thất quân phương tang đảm, thành trung nhất tiễn hốt thương thân.
未知关公性命如何，且看下文分解。	Vị tri quan công tính mệnh như hà, thả khán hạ văn phân giải.
第七十五回关云长刮骨疗毒吕子明白衣渡江	Đệ thất thập ngũ hồi quan vân trường quát cốt liệu độc lữ tử minh bạch y độ giang

Paragraph 464
却说曹仁见关公落马，即引兵冲出城来；被关平一阵杀回，救关公归寨，拔出臂箭。	khước thuyết tào nhân kiến quan công lạc mã, tức dẫn binh trùng xuất thành lai; bị quan bình nhất trận sát hồi, cứu quan công quy trại, bạt xuất tí tiễn.
原来箭头有药，毒已入骨，右臂青肿，不能运动。	Nguyên lai tiễn đầu hữu dược, độc dĩ nhập cốt, hữu tí thanh thũng, bất năng vận động.
关平慌与众将商议曰：“父亲若损此臂，安能出敌？	Quan bình hoảng dữ chúng tướng thương nghị viết: "Phụ thân nhược tổn thử tí, an năng xuất địch?
不如暂回荆州调理。	Bất như tạm hồi kinh châu điều lí.
”于是与众将入帐见关公。	" Vu thị dữ chúng tướng nhập trướng kiến quan công.
公问曰：“汝等来有何事？	Công vấn viết: "Nhữ đẳng lai hữu hà sự?
”众对曰：“某等因见君侯右臂损伤，恐临敌致怒，冲突不便。	" Chúng đối viết: "Mỗ đẳng nhân kiến quân hầu hữu tí tổn thương, khủng lâm địch trí nộ, xung đột bất tiện.
众议可暂班师回荆州调理。	Chúng nghị khả tạm ban sư hồi kinh châu điều lí.
